,Año,Trimestre,Provincia,Accesos por cada 100 hogares
194,2020,3,Catamarca,4716
195,2020,3,Chaco,4154
196,2020,3,Chubut,6834
197,2020,3,Córdoba,7522
198,2020,3,Corrientes,4175
199,2020,3,Entre Ríos,5819
200,2020,3,Formosa,3191
201,2020,3,Jujuy,5404
202,2020,3,La Pampa,7926
203,2020,3,La Rioja,5012
204,2020,3,Mendoza,3735
205,2020,3,Misiones,416
206,2020,3,Neuquén,6524
207,2020,3,Río Negro,5705
208,2020,3,Salta,5232
209,2020,3,San Juan,3879
210,2020,3,San Luis,7996
211,2020,3,Santa Cruz,3595
212,2020,3,Santa Fe,7212
213,2020,3,Santiago Del Estero,4338
214,2020,3,Tierra Del Fuego,7681
215,2020,3,Tucumán,5323
216,2020,2,Buenos Aires,6522
217,2020,2,Capital Federal,10641
218,2020,2,Catamarca,4543
219,2020,2,Chaco,3983
220,2020,2,Chubut,5734
221,2020,2,Córdoba,7271
222,2020,2,Corrientes,403
223,2020,2,Entre Ríos,5654
224,2020,2,Formosa,3114
225,2020,2,Jujuy,4789
226,2020,2,La Pampa,761
227,2020,2,La Rioja,4984
228,2020,2,Mendoza,3625
229,2020,2,Misiones,4089
230,2020,2,Neuquén,639
231,2020,2,Río Negro,5637
232,2020,2,Salta,5158
233,2020,2,San Juan,3509
234,2020,2,San Luis,7841
235,2020,2,Santa Cruz,3579
236,2020,2,Santa Fe,70
237,2020,2,Santiago Del Estero,4347
238,2020,2,Tierra Del Fuego,7637
239,2020,2,Tucumán,5178
240,2020,1,Buenos Aires,6433
241,2020,1,Capital Federal,10598
242,2020,1,Catamarca,3762
243,2020,1,Chaco,3748
244,2020,1,Chubut,5127
245,2020,1,Córdoba,7069
246,2020,1,Corrientes,3873
247,2020,1,Entre Ríos,5612
248,2020,1,Formosa,3023
249,2020,1,Jujuy,4667
250,2020,1,La Pampa,7577
251,2020,1,La Rioja,4635
252,2020,1,Mendoza,3314
253,2020,1,Misiones,3902
254,2020,1,Neuquén,6185
255,2020,1,Río Negro,5512
256,2020,1,Salta,496
257,2020,1,San Juan,3239
258,2020,1,San Luis,7631
259,2020,1,Santa Cruz,3597
260,2020,1,Santa Fe,6952
261,2020,1,Santiago Del Estero,4247
262,2020,1,Tierra Del Fuego,7607
263,2020,1,Tucumán,4785
264,2019,4,Buenos Aires,6425
265,2019,4,Capital Federal,10625
266,2019,4,Catamarca,3644
267,2019,4,Chaco,3684
268,2019,4,Chubut,5115
269,2019,4,Córdoba,7048
270,2019,4,Corrientes,3877
271,2019,4,Entre Ríos,5799
272,2019,4,Formosa,3047
273,2019,4,Jujuy,4538
274,2019,4,La Pampa,7692
275,2019,4,La Rioja,4714
276,2019,4,Mendoza,3365
277,2019,4,Misiones,3979
278,2019,4,Neuquén,5936
279,2019,4,Río Negro,5571
280,2019,4,Salta,5035
281,2019,4,San Juan,3285
282,2019,4,San Luis,7492
283,2019,4,Santa Cruz,3671
284,2019,4,Santa Fe,6948
285,2019,4,Santiago Del Estero,4292
286,2019,4,Tierra Del Fuego,797
287,2019,4,Tucumán,4765
288,2019,3,Buenos Aires,6936
289,2019,3,Capital Federal,11265
290,2019,3,Catamarca,3088
291,2019,3,Chaco,3585
292,2019,3,Chubut,4757
293,2019,3,Córdoba,6859
294,2019,3,Corrientes,3849
295,2019,3,Entre Ríos,579
296,2019,3,Formosa,3011
297,2019,3,Jujuy,4432
298,2019,3,La Pampa,7745
299,2019,3,La Rioja,4794
300,2019,3,Mendoza,4074
301,2019,3,Misiones,3933
302,2019,3,Neuquén,6414
303,2019,3,Río Negro,6342
304,2019,3,Salta,4448
305,2019,3,San Juan,3706
306,2019,3,San Luis,8523
307,2019,3,Santa Cruz,3563
308,2019,3,Santa Fe,6887
309,2019,3,Santiago Del Estero,553
310,2019,3,Tierra Del Fuego,9646
311,2019,3,Tucumán,3949
312,2019,2,Buenos Aires,6785
313,2019,2,Capital Federal,11055
314,2019,2,Catamarca,3213
315,2019,2,Chaco,3414
316,2019,2,Chubut,4699
317,2019,2,Córdoba,6807
318,2019,2,Corrientes,3816
319,2019,2,Entre Ríos,5748
320,2019,2,Formosa,3042
321,2019,2,Jujuy,4451
