,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
79,2021,4,Entre Ríos,70459.0,133387.0,23452.0,25022,12726,265046.0
80,2021,4,Formosa,17211.0,15111.0,5151.0,16018,1720,53663.0
81,2021,4,Jujuy,22330.0,60511.0,24156.0,2927,3991,113915.0
82,2021,4,La Pampa,8175.0,58000.0,20192.0,19286,1354,107007.0
83,2021,4,La Rioja,10387.0,56651.0,9446.0,6613,310,83128.0
84,2021,4,Mendoza,59842.0,71553.0,109667.0,24666,1859,267587.0
85,2021,4,Misiones,41778.0,92068.0,22035.0,7649,7602,171132.0
86,2021,4,Neuquén,29175.0,72761.0,23253.0,21531,7460,147466.0
87,2021,4,Río Negro,42037.0,44495.0,32212.0,16558,18451,153753.0
88,2021,4,Salta,46972.0,99808.0,39555.0,5882,7188,199405.0
89,2021,4,San Juan,35868.0,13102.0,11072.0,11423,8493,79958.0
90,2021,4,San Luis,8472.0,11064.0,30.0,7056,28723,118849.0
91,2021,4,Santa Cruz,10790.0,22902.0,10031.0,4346,4170,48486.0
92,2021,4,Santa Fe,233427.0,444373.0,128856.0,43556,16229,866441.0
93,2021,4,Santiago Del Estero,19032.0,86563.0,1088.0,6256,2922,115861.0
94,2021,4,Tierra Del Fuego,13317.0,38148.0,426.0,1240,3420,52357.0
95,2021,4,Tucumán,97830.0,59022.0,78790.0,2511,4860,238639.0
96,2021,3,Buenos Aires,585729.0,2595485.0,885613.0,120228,64554,4251609.0
97,2021,3,Capital Federal,142902.0,1192107.0,42966.0,6059,29371,1413405.0
98,2021,3,Catamarca,18413.0,11709.0,22331.0,1568,2233,56254.0
99,2021,3,Chaco,38258.0,63659.0,27583.0,8018,2353,139871.0
100,2021,3,Chubut,49269.0,55794.0,8946.0,23376,18681,156066.0
101,2021,3,Córdoba,229275.0,477223.0,167495.0,57617,15178,946788.0
102,2021,3,Corrientes,44805.0,69403.0,7542.0,6766,5303,133819.0
103,2021,3,Entre Ríos,74443.0,128752.0,20485.0,235,13195,260375.0
104,2021,3,Formosa,18093.0,14111.0,4730.0,1569,1710,52795.0
105,2021,3,Jujuy,23554.0,60758.0,19926.0,2952,3968,111158.0
106,2021,3,La Pampa,9015.0,57881.0,17817.0,14479,1295,100487.0
107,2021,3,La Rioja,11329.0,54744.0,9444.0,6613,300,82160.0
108,2021,3,Mendoza,91474.0,71247.0,70579.0,21811,8280,255939.0
109,2021,3,Misiones,43230.0,89469.0,10969.0,7198,7662,158528.0
110,2021,3,Neuquén,29650.0,73794.0,16455.0,1927,6400,139809.0
111,2021,3,Río Negro,47934.0,44519.0,18725.0,15031,18376,144585.0
112,2021,3,Salta,49212.0,98318.0,36126.0,5724,6453,195833.0
113,2021,3,San Juan,40072.0,12922.0,6670.0,11372,8447,79483.0
114,2021,3,San Luis,8417.0,11884.0,27.0,68856,2868,117864.0
115,2021,3,Santa Cruz,12347.0,22961.0,6328.0,4269,3071,48976.0
116,2021,3,Santa Fe,245929.0,443156.0,93412.0,43447,1564,841584.0
117,2021,3,Santiago Del Estero,19939.0,85535.0,909.0,6147,2928,115458.0
118,2021,3,Tierra Del Fuego,12853.0,36958.0,6.0,160,3900,50223.0
119,2021,3,Tucumán,104489.0,53868.0,70964.0,2408,7430,232472.0
120,2021,2,Buenos Aires,603255.0,2503830.0,854173.0,113546,57547,4132351.0
