Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares,Accesos TV por suscripción
2014,3,Tucumán,13.52,54.56,212958,175548,24185,720,12505,761,3077,11972
2014,4,Buenos Aires,26.96,85.55,4463139,3680053,509659,15264,258163,1513,4965,2492829
2014,4,Capital Federal,52.93,127.29,1615174,1331781,184442,5524,93427,2264,5962,690404
2014,4,Catamarca,9.99,39.27,39423,32506,4502,135,228,719,2827,28249
2014,4,Chaco,9.28,34.71,105378,8689,12033,360,6095,805,3014,91003
2014,4,Chubut,17.76,57.92,99562,82093,11369,341,5759,1229,4015,68381
2014,4,Córdoba,20.65,67.43,731926,603505,83581,2503,42337,2767,9044,97625
2014,4,Corrientes,9.89,37.55,105219,86758,12015,360,6086,861,3271,9121
2014,4,Entre Ríos,17.51,58.56,230049,189685,2627,787,13307,1161,3885,151868
2014,4,Formosa,7.31,28.73,42133,34741,4811,144,2437,812,3192,4659
2014,4,Jujuy,7.81,30.55,56456,4655,6447,193,3266,1103,4319,79331
2014,4,La Pampa,21.41,64.99,73063,60244,8343,250,4226,2346,7125,79733
2014,4,La Rioja,10.74,40.33,39162,32291,4472,134,2265,726,2731,26337
2014,4,Mendoza,17.49,62.68,327635,270148,37414,1121,18952,623,2235,116149
2014,4,Misiones,9.47,34.75,111784,92171,12765,382,6466,959,3523,112595
2014,4,Neuquén,15.29,51.34,93902,77426,10723,321,5432,2535,8526,154765
2014,4,Río Negro,17.8,57.87,123365,10172,14087,422,7136,843,2743,58053
2014,4,Salta,10.68,44.08,141211,116435,16125,483,8168,1269,5245,166843
2014,4,San Juan,12.96,50.88,95135,78443,10864,325,5503,588,2312,4297
2014,4,San Luis,10.84,37.88,51237,42247,5851,175,2964,1177,4116,55289
2014,4,Santa Cruz,13.17,44.26,41523,34237,4742,142,2402,1413,4759,44012
2014,4,Santa Fe,22.79,72.46,770455,635273,87981,2635,44566,1935,6159,652071
2014,4,Santiago del Estero,7.65,30.81,70523,5815,8053,241,4079,1071,4319,98334
2014,4,Tierra del Fuego,21.96,74.05,32912,27137,3758,113,1904,2345,7926,34741
2014,4,Tucumán,13.47,54.39,21299,17562,24322,728,1232,763,3085,120037
2015,1,Buenos Aires,28.93,91.61,4801996,3979224,540095,17562,265115,1502,4929,2502399
2015,1,Capital Federal,53.53,128.08,1634130,1354140,183795,5976,90219,226,5950,690175
2015,1,Catamarca,9.89,38.89,39142,32436,4402,143,2161,708,2785,28098
2015,1,Chaco,9.15,34.24,10425,86388,11725,381,5756,801,3001,91617
2015,1,Chubut,18.51,60.38,104281,86414,11729,381,5757,1209,3951,68561
2015,1,Córdoba,20.51,66.99,729084,604164,82002,2666,40252,2732,8931,974705
2015,1,Corrientes,10.17,38.63,108534,89938,12207,397,5992,845,3210,9041
2015,1,Entre Ríos,17.45,58.36,229839,190458,25851,841,12689,115,3850,151985
2015,1,Formosa,7.25,28.48,41854,34683,4707,153,2311,8,3144,46316
2015,1,Jujuy,7.79,30.45,56446,46775,6349,206,3116,11,4305,80056
2015,1,La Pampa,22.47,68.21,76862,63693,8645,281,4243,237,7197,81292
2015,1,La Rioja,10.63,39.92,38902,32237,4375,142,2148,695,2613,25553
2015,1,Mendoza,18.05,64.69,339093,280993,38139,124,18721,614,2202,115783
2015,1,Misiones,9.33,34.25,110526,91589,12431,404,6102,961,3531,114278
2015,1,Neuquén,15.58,52.35,96099,79633,10809,351,5306,1794,6033,111183
2015,1,Río Negro,18.31,59.52,127343,105523,14323,466,7031,823,2678,57497
2015,1,Salta,10.62,43.84,140946,116796,15853,515,7782,1262,5215,168225
2015,1,San Juan,13.36,52.44,9834,8149,11061,360,5429,595,2336,43939
2015,1,San Luis,10.97,38.34,52039,43123,5853,190,2873,1167,4083,55603
2015,1,Santa Cruz,18.17,61.05,57685,47801,6488,211,3185,1701,5729,54518
2015,1,Santa Fe,22.62,71.94,766506,635174,86211,2803,42318,1779,5660,604333
2015,1,Santiago del Estero,7.58,30.54,70101,58091,7884,256,387,1059,4269,98247
2015,1,Tierra del Fuego,22.15,74.68,33423,27697,3759,122,1845,2324,7855,35399
2015,1,Tucumán,13.38,54.02,212265,175896,23874,776,11719,749,3027,119332
2015,2,Buenos Aires,28.03,88.59,4665956,3872029,51512,16074,262733,1514,4969,2522599
2015,2,Capital Federal,54.18,128.99,1654650,1373106,182673,57,93171,227,5977,693278
2015,2,Catamarca,9.87,38.8,39141,32481,4321,135,2204,719,2827,28518
2015,2,Chaco,9.13,34.15,104243,86506,11508,359,587,8,2995,91438
2015,2,Chubut,19.01,62.01,107612,89302,1188,371,6059,1213,3962,68762
